"state","election_date","contest_name","choice","choice_party","jurisdiction","office","district","election_day","early_voting","absentee_by_mail","absentee_or_early","provisional","total_votes","vote_share","contest_outcome"
"NC",2025-11-04,"CITY OF WILSON CITY COUNCIL DISTRICT 05","William Matthew Bain (Write-In)","","Wilson","Council","District 05",1,0,0,0,0,1,0.1,"Loser"
"NC",2025-11-04,"TOWN OF GROVER COMMISSIONER","Thor Inman","","Grover","Commissioner","",27,0,0,0,0,27,28.72,"Loser"
"NC",2025-11-04,"TOWN OF CARRBORO TOWN COUNCIL","Cristobal Palmer","","Carrboro","Council","",1528,995,50,0,14,2587,34.16,"Winner"
"NC",2025-11-04,"TOWN OF HUNTERSVILLE BOARD OF COMMISSIONERS","Nick Walsh","","Huntersville","Board Of Commissioners","",3760,3699,149,0,10,7618,12.06,"Loser"
"NC",2025-11-04,"BUNCOMBE - WOODFIN SANITARY WATER AND SEWER DISTRICT TRUSTEE","Write-In (Miscellaneous)","","Buncombe - Woodfin Sanitary Water And Sewer District","Trustee","",5,0,0,0,0,5,0.35,"Loser"
"NC",2025-11-04,"TOWN OF WINTON COUNCIL MEMBER","Blake Blythe","","Winton","Council Member","",45,8,0,0,0,53,13.8,"Loser"
"NC",2025-11-04,"TOWN OF SANDY CREEK COUNCIL MEMBER","Austin Lentz","","Sandy Creek","Council Member","",11,8,0,0,0,19,39.58,"Loser"
"NC",2025-11-04,"TOWN OF WOODLAND TOWN COMMISSIONER","Cassandra Langford (Write-In)","","Woodland","Commissioner","",2,0,0,0,0,2,6.9,"Loser"
"NC",2025-11-04,"CITY OF GREENVILLE CITY COUNCIL DISTRICT 04","Write-In (Miscellaneous)","","Greenville","Council","District 04",4,4,0,0,0,8,0.24,"Loser"
"NC",2025-11-04,"TOWN OF BELWOOD BOARD OF COMMISSIONERS","Write-In (Miscellaneous)","","Belwood","Board Of Commissioners","",0,0,0,0,0,0,0,"Loser"
"NC",2025-11-04,"CITY OF BESSEMER CITY COUNCIL MEMBER WARD 06","Morgan Smith","","Bessemer","Council Member","Ward 06",115,23,0,0,1,139,29.39,"Loser"
"NC",2025-11-04,"TOWN OF DUCK COUNCILMAN","Sandy Whitman","","Duck","Councilman","",151,46,2,0,0,199,15.37,"Loser"
"NC",2025-11-04,"TOWN OF WATHA COMMISSIONER","Joseph Craig","","Watha","Commissioner","",8,0,0,0,0,8,17.39,"Loser"
"NC",2025-11-04,"TOWN OF DANBURY TOWN COUNCIL","Shannon Conner","","Danbury","Council","",34,0,0,0,0,34,46.58,"Winner"
"NC",2025-10-07,"CITY OF ASHEBORO CITY COUNCIL","Al LaPrade","","Asheboro","Council","",147,212,4,0,0,363,4.79,"Loser"
"NC",2025-11-04,"THOMASVILLE CITY SCHOOLS BOARD OF EDUCATION","Malcolm Richbourg","","Thomasville City Schools","Board Of Education","",349,337,3,0,7,696,28.14,"Winner"
"NC",2025-11-04,"CITY OF LOWELL COUNCIL MEMBER","Thomas Gillespie","","Lowell","Council Member","",249,51,2,0,0,302,17.95,"Winner"
"NC",2025-11-04,"CITY OF SALISBURY MAYOR","Tamara Sheffield","","Salisbury","Mayor","",1610,879,62,0,14,2565,94.58,"Winner"
"NC",2025-11-04,"CITY OF FAYETTEVILLE CITY COUNCIL DISTRICT 01","Stephon Ferguson","","Fayetteville","Council","District 01",788,316,15,0,3,1122,56.72,"Winner"
"NC",2025-11-04,"TOWN OF WINDSOR MAYOR","Blank (Write-In)","","Windsor","Mayor","",0,1,0,0,0,1,0.29,"Loser"
"NC",2025-11-04,"TOWN OF MORRISVILLE TOWN COUNCIL DISTRICT 04","Vicki Scroggins-Johnson","","Morrisville","Council","District 04",1963,774,77,0,5,2819,58.84,"Winner"
"NC",2025-11-04,"TOWN OF MURFREESBORO MAYOR","Write-In (Miscellaneous)","","Murfreesboro","Mayor","",0,0,0,0,0,0,0,"Loser"
"NC",2025-11-04,"TOWN OF JAMESTOWN MAYOR","Greg Pittman (Write-In)","","Jamestown","Mayor","",38,34,0,0,0,72,7.4,"Loser"
"NC",2025-11-04,"TOWN OF BUNN MAYOR","Write-In (Miscellaneous)","","Bunn","Mayor","",0,0,0,0,0,0,0,"Loser"
"NC",2025-11-04,"TOWN OF GRIFTON BOARD OF COMMISSIONERS","Claude Kennedy","","Grifton","Board Of Commissioners","",215,57,0,0,2,274,37.69,"Winner"
"NC",2025-11-04,"TOWN OF SILER CITY MAYOR","Albert Reddick (Write-In)","","Siler","Mayor","",7,1,0,0,0,8,1.43,"Loser"
"NC",2025-11-04,"TOWN OF FAISON MAYOR","William M. (Billy) Ward II","","Faison","Mayor","",92,3,1,0,1,97,97.98,"Winner"
"NC",2025-11-04,"TOWN OF LILLINGTON MAYOR","Write-In (Miscellaneous)","","Lillington","Mayor","",1,1,0,0,0,2,1.9,"Loser"
"NC",2025-11-04,"TOWN OF CARRBORO MAYOR","Write-In (Miscellaneous)","","Carrboro","Mayor","",11,12,0,0,0,23,0.79,"Loser"
"NC",2025-11-04,"VILLAGE OF COFIELD COUNCIL MEMBER","Marion Vann (Write-In)","","Cofield","Council Member","",22,1,0,0,0,23,7.93,"Loser"
"NC",2025-11-04,"TOWN OF AULANDER TOWN COMMISSIONER","William  Mendes (Write-In)","","Aulander","Commissioner","",1,0,0,0,0,1,0.28,"Loser"
"NC",2025-11-04,"TOWN OF KENLY TOWN COUNCIL MEMBERS","Latarish (Tasha) Neal","","Kenly","Council Members","",86,21,0,0,2,109,49.77,"Winner"
"NC",2025-11-04,"TOWN OF GATESVILLE MAYOR","Write-In (Miscellaneous)","","Gatesville","Mayor","",0,0,0,0,0,0,0,"Loser"
"NC",2025-11-04,"TOWN OF LAKE SANTEETLAH COUNCIL MEMBER","Jim Hager","","Lake Santeetlah","Council Member","",5,16,0,0,0,21,17.07,"Loser"
"NC",2025-11-04,"TOWN OF MOUNT GILEAD TOWN COMMISSIONER","Vera Collins Richardson","","Mount Gilead","Commissioner","",98,1,4,0,1,104,47.93,"Loser"
"NC",2025-11-04,"TOWN OF CONNELLY SPRINGS ALDERMAN","Write-In (Miscellaneous)","","Connelly Springs","Alderman","",2,2,0,0,0,4,1.3,"Loser"
"NC",2025-11-04,"CITY OF GASTONIA COUNCIL MEMBER WARD 02","Write-In (Miscellaneous)","","Gastonia","Council Member","Ward 02",6,0,0,0,0,6,0.56,"Loser"
"NC",2025-11-04,"JOHNSTON - WHITLEY HEIGHTS SANITARY DISTRICT COMMISSIONERS","Write-In (Miscellaneous)","","Johnston - Whitley Heights Sanitary District","Commissioners","",1,0,0,0,0,1,100,"Winner"
"NC",2025-09-09,"CITY OF CHARLOTTE CITY COUNCIL DISTRICT 06 (REP)","Sary Chakra","REP","Charlotte","Council","District 06",540,206,8,0,4,758,23.93,"Loser"
"NC",2025-11-04,"THOMASVILLE CITY SCHOOLS BOARD OF EDUCATION","L. Jeremiah McCauley","","Thomasville City Schools","Board Of Education","",139,155,4,0,3,301,12.17,"Loser"
"NC",2025-11-04,"CITY OF WILMINGTON COUNCIL MEMBER","Richard M. Collier","","Wilmington","Council Member","",4869,4411,67,0,83,9430,13.55,"Loser"
"NC",2025-11-04,"TOWN OF DUBLIN MAYOR","Write-In (Miscellaneous)","","Dublin","Mayor","",0,0,0,0,0,0,0,"Loser"
"NC",2025-11-04,"TOWN OF WASHINGTON PARK COMMISSIONER","Write-In (Miscellaneous)","","Washington Park","Commissioner","",11,3,0,0,0,14,3.48,"Loser"
"NC",2025-11-04,"TOWN OF CLEVELAND MAYOR","Patrick (Pat) Phifer","","Cleveland","Mayor","",68,4,0,0,0,72,94.74,"Winner"
"NC",2025-11-04,"CITY OF EDEN COUNCILMAN WARD 03","William LaPrade (Write-In)","","Eden","Councilman","Ward 03",1,0,0,0,0,1,0.05,"Loser"
"NC",2025-11-04,"TOWN OF ATKINSON COMMISSIONER (UNEXPIRED)","Lonnie J. Turner (Write-In)","","Atkinson","Commissioner","",5,0,0,0,0,5,18.52,"Loser"
"NC",2025-11-04,"TOWN OF WAKE FOREST MAYOR","Vivian Jones","","Wake Forest","Mayor","",2926,178,31,0,15,3150,29.16,"Loser"
"NC",2025-11-04,"TOWN OF ABERDEEN BOARD OF COMMISSIONERS","Fallon McIver Brewington","","Aberdeen","Board Of Commissioners","",369,55,5,0,1,430,31.88,"Winner"
